name,lat,lng
West Jordan,40.6024,-112.0008
Richardson,32.9716,-96.7093
West Palm Beach,26.7469,-80.132
Temple,31.1068,-97.3891
Burlington,44.4876,-73.2316
Richmond,37.9477,-122.3389
Westminster,39.8837,-105.0624
Pottstown,40.2508,-75.6445
Brandon,27.9367,-82.3
Rock Hill,34.9415,-81.0241
Meridian,43.6116,-116.3977
Coeur d'Alene,47.704,-116.7936
Carlsbad,33.1246,-117.2834
Lowell,42.6389,-71.3217
Waterloo,42.4918,-92.3522
North Charleston,32.9067,-80.0722
Gilroy,37.0046,-121.5854
Downey,33.9379,-118.1311
Gresham,45.5021,-122.4413
Elgin,42.0383,-88.324
Utica,43.0962,-75.2261
Broken Arrow,36.038,-95.7806
Costa Mesa,33.6667,-117.9135
Chico,39.7578,-121.8161
Sioux City,42.4959,-96.3901
League City,29.4874,-95.1087
Miami Gardens,25.9433,-80.2426
Pompano Beach,26.2428,-80.1312
San Buenaventura,34.2741,-119.2314
Everett,47.9525,-122.1669
El Centro,32.7865,-115.5595
Sugar Land,29.5935,-95.6358
El Monte,34.0739,-118.0291
Lewisville,33.0454,-96.9815
West Covina,34.0555,-117.9113
Temecula,33.4928,-117.1315
Bend,44.0563,-121.3095
Salisbury,38.3756,-75.5865
Jacksonville,34.7289,-77.3941
Inglewood,33.9566,-118.3444
Dearborn,42.3127,-83.213
Centennial,39.5926,-104.8673
Burbank,34.1879,-118.3235
Sparks,39.5736,-119.7161
Sandy Springs,33.9366,-84.3703
Bloomington,39.1637,-86.5257
Logan,41.7399,-111.8422
Kailua,21.392,-157.7396
El Cajon,32.8017,-116.9604
Hillsboro,45.5273,-122.936
South Fulton,33.6273,-84.58
Renton,47.4784,-122.1918
Mandeville,30.3751,-90.0904
San Mateo,37.5522,-122.3121
Columbia,39.2004,-76.859
Daly City,37.6862,-122.4685
Davie,26.0789,-80.287
Jurupa Valley,34.001,-117.4706
Brockton,42.0821,-71.0242
Longmont,40.1686,-105.1005
Rialto,34.1175,-117.3892
San German,18.0827,-67.046
Eau Claire,44.8197,-91.4948
Turlock,37.5053,-120.8588
Norwalk,33.9069,-118.0829
Highlands Ranch,39.5419,-104.9708
Allen,33.1088,-96.6735
Wichita Falls,33.9072,-98.5291
Rio Rancho,35.2873,-106.6982
Vacaville,38.3587,-121.9673
Spokane Valley,47.6626,-117.2346
Charlottesville,38.0375,-78.4855
Idaho Falls,43.4871,-112.0362
Menifee,33.6909,-117.1849
Lee's Summit,38.9171,-94.3816
Quincy,42.2506,-71.0187
San Angelo,31.4424,-100.4504
Lynn,42.4781,-70.9664
Holland,42.7677,-86.0984
Federal Way,47.3091,-122.3358
Manteca,37.7927,-121.2264
Lafayette,39.9946,-105.0998
Santa Fe,35.6619,-105.9819
Hesperia,34.3975,-117.3147
La Crosse,43.8241,-91.2268
Riverview,27.8227,-82.3023
Kingsport,36.5224,-82.5454
Edinburg,26.3196,-98.1597
Vista,33.1896,-117.2386
Bowling Green,36.9716,-86.4378
Carmel,39.965,-86.146
Longview,32.5193,-94.7622
Tracy,37.7269,-121.4523
Prescott Valley,34.598,-112.3185
Beaverton,45.4779,-122.8168
Portsmouth,43.058,-70.7826
Portsmouth,36.8468,-76.354
Fishers,39.9588,-85.9659
Orem,40.2981,-111.6994
Sandy,40.5709,-111.8506
Sunrise,26.1547,-80.2997
San Tan Valley,33.1786,-111.5629
Compton,33.893,-118.2274
Arden-Arcade,38.6017,-121.3845
Hanford,36.3274,-119.6549
Boca Raton,26.3752,-80.108
Middletown,39.5033,-84.3659
Livonia,42.3972,-83.3733
Carson,33.8374,-118.2559
Lawrence,38.9597,-95.2642
Slidell,30.2887,-89.7828
Blacksburg,37.23,-80.4279
San Marcos,33.135,-117.1743
Goodyear,33.2614,-112.3622
Edmond,35.6689,-97.416
Mayaguez,18.2003,-67.1397
Fall River,41.7136,-71.1015
South Gate,33.9447,-118.1926
Suffolk,36.6953,-76.6398
Terre Haute,39.466,-87.3751
Missoula,46.8751,-114.0214
Santa Monica,34.0235,-118.481
Roswell,34.0391,-84.3513
Vineland,39.4653,-74.9981
Plantation,26.1259,-80.2617
Alafaya,28.528,-81.1868
Kirkland,47.697,-122.2057
Hoover,33.3763,-86.8068
Westminster,33.7523,-117.9938
Lawton,34.6175,-98.4202
San Leandro,37.7074,-122.1599
Auburn,32.6087,-85.4903
Norwalk,41.1144,-73.4215
O'Fallon,38.785,-90.7175
Chino,33.9836,-117.6654
Germantown,39.1755,-77.2643
Dover,43.1887,-70.8845
Bismarck,46.8143,-100.7694
Waukegan,42.3698,-87.8716
Buckeye,33.4314,-112.6429
Town 'n' Country,28.0106,-82.5763
Clifton,40.863,-74.1575
Bloomington,44.8306,-93.3151
Mount Pleasant,32.8537,-79.8203
Florence,34.178,-79.7898
Newton,42.3316,-71.2085
State College,40.7909,-77.8567
Livermore,37.6868,-121.7607
Rapid City,44.0716,-103.2204
Decatur,39.8557,-88.9342
Dalton,34.769,-84.972
Conroe,30.3238,-95.4824
Hawthorne,33.9147,-118.3476
Lawrence,42.7002,-71.1626
New Braunfels,29.6994,-98.1148
